金融機関コード,金融機関名,支店コード,支店名,科目,口座番号,口座名,取引日,入払区分,取引区分,取引金額,内他店券金額,手形・小切手区分,手形・小切手番号,振込依頼人番号,振込依頼人名,仕向金融機関名,仕向支店名,摘要,ＥＤＩ情報
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260801,1,11,54000,0, ,0,0,ｶ)ｼﾝｼﾔ                                        ,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,ｶﾝﾀﾞｴｷﾏｴ       ,262ﾌﾘｺﾐ2            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260801,2,11,867020,0, ,0,0,ｿｳｺﾞｳﾌﾘｺﾐ   BIZ                                 ,               ,               ,276ｿｳｷﾕｳﾌﾘ          ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260801,1,11,3693,0, ,0,0,ｶ)ﾀｲﾝｻﾂｼﾔ                                    ,ﾐﾂｲｽﾐﾄﾓ        ,ｼﾝﾊﾞｼ          ,261ﾌﾘｺﾐ1            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260801,1,11,254340,0, ,0,0,ｶ)ｼﾞｺﾝﾌﾟﾚﾂｸｽ                                ,ﾐﾂｲｽﾐﾄﾓ        ,ｷﾞﾝｻﾞ          ,261ﾌﾘｺﾐ1            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260801,1,11,88560,0, ,0,0,ﾕ)ｻﾝﾔｲﾝｻﾂｼﾖ                                 ,ﾐｽﾞﾎ           ,ｷﾝｼﾁﾖｳ         ,261ﾌﾘｺﾐ1            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260801,1,11,43200,0, ,0,0,ｵｵﾏﾔ                                         ,ﾐｽﾞﾎ           ,ﾂｷﾁﾞ           ,261ﾌﾘｺﾐ1            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260804,2,14,68000,0, ,0,4208400,3.36091E+18,               ,               ,703ｺｳｻﾞﾌﾘｶｴ3 TF)ﾄﾖﾀﾌ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260804,1,11,49161,0, ,0,0,"ﾏﾅｶｷ ﾕｷ                                  ",ﾐﾂｲｽﾐﾄﾓ        ,ﾀﾞｲﾚｸﾄﾄｳｷﾖｳﾆ   ,261ﾌﾘｺﾐ1            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260804,1,11,31950,0, ,0,0,CIｼｴﾙ)                                       ,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,ｱｵﾔﾏ           ,269ﾌﾘｺﾐ9            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260805,1,11,426729,0, ,0,0,ｶ)ﾄｳｷ ｴｴﾝｼ-                                ,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,ｼﾌﾞﾔ           ,262ﾌﾘｺﾐ2            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260805,2,11,227200,0, ,0,0,ｿｳｺﾞｳﾌﾘｺﾐ   BIZ                                 ,               ,               ,276ｿｳｷﾕｳﾌﾘ          ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260805,1,11,254880,0, ,0,0,ｶ)ﾏｶﾝﾊｳｽ                                     ,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,ｼﾝﾊﾞｼｴｷﾏｴ      ,262ﾌﾘｺﾐ2            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260805,1,11,188244,0, ,0,0,ﾗｲﾝｻﾂ(ｶ                                       ,ﾐﾂｲｽﾐﾄﾓ        ,ｼﾝﾊﾞｼ          ,261ﾌﾘｺﾐ1            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260805,1,11,102924,0, ,0,0,ｶ)ﾋﾞｼﾞ                                        ,ﾐﾂｲｽﾐﾄﾓ        ,ｱｵﾔﾏ           ,261ﾌﾘｺﾐ1            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260805,1,11,64152,0, ,0,0,ｶ)ﾄｳﾎﾝｼ                                      ,ﾄﾐﾝ            ,ﾎﾝﾃﾝ           ,261ﾌﾘｺﾐ1            ,                    
